Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Listing,Chrome 70.0.3538.102,Add Listing with valid inputs,2018-11-16 12:28:20,2018-11-16 12:28:52,31.567s,PASSED
,,,,,,
Test Cases/AddListingWithExcel,Chrome 70.0.3538.102,Read input from excel sheets,2018-11-16 12:28:21,2018-11-16 12:28:52,30.805s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(Read data for Add listing).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-16 12:28:22,2018-11-16 12:28:52,29.697s,PASSED
