Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Sign IN,Chrome 70.0.3538.102,,2018-11-21 19:06:02,2018-11-21 19:09:17,3m - 14.160s,PASSED
,,,,,,
Test Cases/SignInWithExcel,Chrome 70.0.3538.102,,2018-11-21 19:06:03,2018-11-21 19:09:17,3m - 13.353s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(SystemLogin).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-21 19:06:04,2018-11-21 19:09:17,3m - 12.611s,PASSED
