Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Manage Shop,Chrome 70.0.3538.102,Manage shop,2018-11-21 16:16:47,2018-11-21 16:17:18,31.562s,PASSED
,,,,,,
Test Cases/Update profile Image,Chrome 70.0.3538.102,,2018-11-21 16:16:47,2018-11-21 16:17:18,30.872s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-21 16:16:48,2018-11-21 16:17:07,19.310s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:17:07,2018-11-21 16:17:08,0.304s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-21 16:17:08,2018-11-21 16:17:09,1.178s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:17:09,2018-11-21 16:17:09,0.363s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:17:09,2018-11-21 16:17:09,0.228s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-21 16:17:09,2018-11-21 16:17:09,0.147s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 16:17:09,2018-11-21 16:17:10,0.149s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 16:17:10,2018-11-21 16:17:10,0.185s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 16:17:10,2018-11-21 16:17:14,4.066s,PASSED
uploadFile,Chrome 70.0.3538.102,,2018-11-21 16:17:14,2018-11-21 16:17:14,0.104s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 16:17:14,2018-11-21 16:17:14,0.038s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 16:17:14,2018-11-21 16:17:17,3.394s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-21 16:17:17,2018-11-21 16:17:18,0.744s,PASSED
