Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Booking Services,Chrome 70.0.3538.102,,2018-11-16 14:07:09,2018-11-16 14:08:38,1m - 29.582s,PASSED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-16 14:07:09,2018-11-16 14:07:44,34.522s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 14:07:10,2018-11-16 14:07:14,3.828s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-16 14:07:14,2018-11-16 14:07:26,12.081s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 14:07:26,2018-11-16 14:07:27,1.159s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 14:07:27,2018-11-16 14:07:27,0.504s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-16 14:07:27,2018-11-16 14:07:30,2.364s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-16 14:07:30,2018-11-16 14:07:30,0.043s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 14:07:30,2018-11-16 14:07:30,0.161s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-16 14:07:30,2018-11-16 14:07:33,2.603s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-16 14:07:33,2018-11-16 14:07:33,0.022s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 14:07:33,2018-11-16 14:07:33,0.238s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 14:07:33,2018-11-16 14:07:33,0.352s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 14:07:33,2018-11-16 14:07:33,0.212s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 14:07:33,2018-11-16 14:07:33,0.072s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 14:07:33,2018-11-16 14:07:34,0.148s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-16 14:07:34,2018-11-16 14:07:34,0.162s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-16 14:07:34,2018-11-16 14:07:37,2.743s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-16 14:07:37,2018-11-16 14:07:37,0.053s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 14:07:37,2018-11-16 14:07:37,0.182s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 14:07:37,2018-11-16 14:07:39,1.747s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 14:07:39,2018-11-16 14:07:39,0.276s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 14:07:39,2018-11-16 14:07:39,0.207s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 14:07:39,2018-11-16 14:07:39,0.203s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 14:07:39,2018-11-16 14:07:39,0.216s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 14:07:39,2018-11-16 14:07:40,0.191s,PASSED
