Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Listing,Chrome 70.0.3538.102,Add Listing with valid inputs,2018-11-19 16:13:48,2018-11-19 16:14:13,24.347s,PASSED
,,,,,,
Test Cases/AddListingWithExcel,Chrome 70.0.3538.102,Read input from excel sheets,2018-11-19 16:13:49,2018-11-19 16:14:13,23.699s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(Read data for Add listing).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-19 16:13:50,2018-11-19 16:14:13,22.931s,PASSED
