Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Booking Services,Chrome 70.0.3538.102,,2018-11-21 16:14:04,2018-11-21 16:15:34,1m - 30.291s,PASSED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-21 16:14:04,2018-11-21 16:14:38,34.288s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-21 16:14:05,2018-11-21 16:14:09,3.973s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-21 16:14:09,2018-11-21 16:14:21,11.850s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-21 16:14:21,2018-11-21 16:14:22,1.164s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:14:22,2018-11-21 16:14:22,0.343s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 16:14:22,2018-11-21 16:14:25,3.274s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-21 16:14:25,2018-11-21 16:14:25,0.039s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-21 16:14:25,2018-11-21 16:14:26,0.128s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 16:14:26,2018-11-21 16:14:28,2.870s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-21 16:14:28,2018-11-21 16:14:29,0.023s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:14:29,2018-11-21 16:14:29,0.219s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:14:29,2018-11-21 16:14:29,0.349s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 16:14:29,2018-11-21 16:14:29,0.211s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-21 16:14:29,2018-11-21 16:14:29,0.073s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 16:14:29,2018-11-21 16:14:30,0.152s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-21 16:14:30,2018-11-21 16:14:30,0.183s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-21 16:14:30,2018-11-21 16:14:32,2.443s,PASSED
