Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Booking Services,Chrome 70.0.3538.102,,2018-11-19 14:29:14,2018-11-19 14:30:39,1m - 25.387s,FAILED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-19 14:29:15,2018-11-19 14:29:50,34.422s,FAILED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 14:29:16,2018-11-19 14:29:22,5.644s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 14:29:22,2018-11-19 14:29:32,9.911s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 14:29:32,2018-11-19 14:29:33,1.169s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:29:33,2018-11-19 14:29:34,0.657s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 14:29:34,2018-11-19 14:29:44,9.743s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 14:29:44,2018-11-19 14:29:44,0.056s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 14:29:44,2018-11-19 14:29:44,0.236s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 14:29:44,2018-11-19 14:29:49,5.610s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 14:29:49,2018-11-19 14:29:50,0.085s,FAILED
,,,,,,
Test Cases/Accept Booking,Chrome 70.0.3538.102,Service Provider will accept the booking without any change request,2018-11-19 14:29:50,2018-11-19 14:30:11,21.744s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 14:29:50,2018-11-19 14:29:54,3.828s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 14:29:54,2018-11-19 14:30:03,8.855s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 14:30:03,2018-11-19 14:30:04,1.130s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:04,2018-11-19 14:30:04,0.280s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:30:04,2018-11-19 14:30:05,0.513s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:30:05,2018-11-19 14:30:05,0.321s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:05,2018-11-19 14:30:05,0.229s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:05,2018-11-19 14:30:09,3.791s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:09,2018-11-19 14:30:10,1.321s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:10,2018-11-19 14:30:11,0.671s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:11,2018-11-19 14:30:11,0.223s,PASSED
,,,,,,
Test Cases/Mark as complete,Chrome 70.0.3538.102,Clicking on button Mark service as complete,2018-11-19 14:30:11,2018-11-19 14:30:38,27.129s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 14:30:12,2018-11-19 14:30:15,3.212s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 14:30:15,2018-11-19 14:30:28,13.142s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 14:30:28,2018-11-19 14:30:30,1.137s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:30,2018-11-19 14:30:30,0.216s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:30:30,2018-11-19 14:30:30,0.453s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:30:30,2018-11-19 14:30:30,0.259s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:30,2018-11-19 14:30:31,0.175s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:31,2018-11-19 14:30:36,5.355s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:36,2018-11-19 14:30:36,0.226s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:36,2018-11-19 14:30:38,1.495s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:38,2018-11-19 14:30:38,0.581s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:30:38,2018-11-19 14:30:38,0.171s,PASSED
