Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Listing,Chrome 70.0.3538.102,Add Listing with valid inputs,2018-11-19 15:44:49,2018-11-19 15:46:22,1m - 32.485s,PASSED
,,,,,,
Test Cases/AddListingWithExcel,Chrome 70.0.3538.102,Read input from excel sheets,2018-11-19 15:44:50,2018-11-19 15:45:28,38.150s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(Read data for Add listing).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-19 15:44:51,2018-11-19 15:45:28,37.338s,PASSED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-19 15:45:28,2018-11-19 15:46:21,52.907s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 15:45:28,2018-11-19 15:45:31,2.288s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 15:45:31,2018-11-19 15:45:56,25.044s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 15:45:56,2018-11-19 15:45:57,1.144s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:45:57,2018-11-19 15:45:57,0.239s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 15:45:57,2018-11-19 15:46:01,3.595s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 15:46:01,2018-11-19 15:46:01,0.022s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 15:46:01,2018-11-19 15:46:01,0.084s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 15:46:01,2018-11-19 15:46:08,6.971s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 15:46:08,2018-11-19 15:46:08,0.025s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:46:08,2018-11-19 15:46:08,0.204s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:08,2018-11-19 15:46:08,0.346s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:08,2018-11-19 15:46:08,0.221s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 15:46:08,2018-11-19 15:46:09,0.070s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:46:09,2018-11-19 15:46:09,0.147s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 15:46:09,2018-11-19 15:46:09,0.145s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-19 15:46:09,2018-11-19 15:46:13,4.570s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 15:46:13,2018-11-19 15:46:13,0.041s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:46:13,2018-11-19 15:46:14,0.127s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 15:46:14,2018-11-19 15:46:16,2.664s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:16,2018-11-19 15:46:16,0.172s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:16,2018-11-19 15:46:17,0.182s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:17,2018-11-19 15:46:17,0.187s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:17,2018-11-19 15:46:17,0.195s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:17,2018-11-19 15:46:17,0.210s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-19 15:46:17,2018-11-19 15:46:17,0.047s,PASSED
focus,Chrome 70.0.3538.102,,2018-11-19 15:46:17,2018-11-19 15:46:17,0.099s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 15:46:17,2018-11-19 15:46:17,0.039s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:46:17,2018-11-19 15:46:18,0.563s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 15:46:18,2018-11-19 15:46:18,0.067s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 15:46:18,2018-11-19 15:46:18,0.042s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 15:46:18,2018-11-19 15:46:18,0.027s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 15:46:18,2018-11-19 15:46:18,0.031s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:46:18,2018-11-19 15:46:19,0.556s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:46:19,2018-11-19 15:46:19,0.440s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:46:19,2018-11-19 15:46:19,0.129s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:19,2018-11-19 15:46:20,0.278s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:20,2018-11-19 15:46:20,0.147s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:20,2018-11-19 15:46:20,0.155s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:20,2018-11-19 15:46:20,0.270s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:46:20,2018-11-19 15:46:20,0.192s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:46:20,2018-11-19 15:46:21,0.476s,PASSED
