Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
sign up,Chrome 70.0.3538.102,,2018-11-19 15:16:12,2018-11-19 15:17:17,1m - 5.795s,FAILED
,,,,,,
Test Cases/Sign-Up for Customer with Valid Inputs,Chrome 70.0.3538.102,,2018-11-19 15:16:12,2018-11-19 15:16:41,28.623s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(signup_customer).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-19 15:16:13,2018-11-19 15:16:41,27.964s,PASSED
,,,,,,
Test Cases/Sign up for service provider,Chrome 70.0.3538.102,,2018-11-19 15:16:41,2018-11-19 15:17:17,35.719s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(signup_customer).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-19 15:16:42,2018-11-19 15:17:17,34.952s,FAILED
