Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Listing,Chrome 70.0.3538.102,Add Listing with valid inputs,2018-11-19 14:21:40,2018-11-19 14:22:47,1m - 7.516s,PASSED
,,,,,,
Test Cases/AddListingWithExcel,Chrome 70.0.3538.102,Read input from excel sheets,2018-11-19 14:21:40,2018-11-19 14:22:09,28.570s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(Read data for Add listing).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-19 14:21:41,2018-11-19 14:22:09,27.758s,PASSED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-19 14:22:09,2018-11-19 14:22:47,37.569s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 14:22:09,2018-11-19 14:22:12,2.624s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 14:22:12,2018-11-19 14:22:25,12.628s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 14:22:25,2018-11-19 14:22:26,1.164s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:26,2018-11-19 14:22:26,0.241s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 14:22:26,2018-11-19 14:22:29,2.772s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 14:22:29,2018-11-19 14:22:29,0.019s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 14:22:29,2018-11-19 14:22:29,0.080s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 14:22:29,2018-11-19 14:22:35,6.412s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 14:22:35,2018-11-19 14:22:35,0.035s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:22:35,2018-11-19 14:22:36,0.225s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:36,2018-11-19 14:22:36,0.358s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:36,2018-11-19 14:22:36,0.189s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 14:22:36,2018-11-19 14:22:36,0.102s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:22:36,2018-11-19 14:22:36,0.132s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 14:22:36,2018-11-19 14:22:36,0.137s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-19 14:22:36,2018-11-19 14:22:41,4.032s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 14:22:41,2018-11-19 14:22:41,0.042s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:22:41,2018-11-19 14:22:41,0.146s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 14:22:41,2018-11-19 14:22:41,0.643s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:41,2018-11-19 14:22:42,0.241s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:42,2018-11-19 14:22:42,0.213s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:42,2018-11-19 14:22:42,0.198s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:42,2018-11-19 14:22:42,0.211s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:42,2018-11-19 14:22:42,0.237s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-19 14:22:42,2018-11-19 14:22:43,0.064s,PASSED
focus,Chrome 70.0.3538.102,,2018-11-19 14:22:43,2018-11-19 14:22:43,0.137s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 14:22:43,2018-11-19 14:22:43,0.038s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:22:43,2018-11-19 14:22:43,0.501s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 14:22:43,2018-11-19 14:22:43,0.064s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 14:22:43,2018-11-19 14:22:43,0.062s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 14:22:43,2018-11-19 14:22:43,0.040s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 14:22:43,2018-11-19 14:22:43,0.029s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:22:43,2018-11-19 14:22:44,0.492s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:22:44,2018-11-19 14:22:44,0.419s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:22:44,2018-11-19 14:22:44,0.121s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:44,2018-11-19 14:22:45,0.283s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:45,2018-11-19 14:22:45,0.193s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:45,2018-11-19 14:22:45,0.174s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:45,2018-11-19 14:22:45,0.295s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 14:22:45,2018-11-19 14:22:46,0.192s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 14:22:46,2018-11-19 14:22:47,1.007s,PASSED
