Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Booking Services,Chrome 70.0.3538.102,,2018-11-19 16:14:34,2018-11-19 16:16:21,1m - 47.553s,FAILED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-19 16:14:34,2018-11-19 16:15:03,28.044s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 16:14:35,2018-11-19 16:14:39,4.193s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 16:14:39,2018-11-19 16:14:47,7.386s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 16:14:47,2018-11-19 16:14:48,1.174s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:14:48,2018-11-19 16:14:48,0.478s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 16:14:48,2018-11-19 16:14:50,1.974s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 16:14:50,2018-11-19 16:14:51,0.063s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 16:14:51,2018-11-19 16:14:51,0.154s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 16:14:51,2018-11-19 16:14:54,2.829s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 16:14:54,2018-11-19 16:14:54,0.025s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:14:54,2018-11-19 16:14:54,0.280s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:14:54,2018-11-19 16:14:54,0.414s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:14:54,2018-11-19 16:14:54,0.218s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 16:14:54,2018-11-19 16:14:55,0.088s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:14:55,2018-11-19 16:14:55,0.141s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 16:14:55,2018-11-19 16:14:55,0.170s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-19 16:14:55,2018-11-19 16:14:57,2.380s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 16:14:57,2018-11-19 16:14:57,0.077s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:14:57,2018-11-19 16:14:57,0.135s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 16:14:57,2018-11-19 16:14:58,0.625s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:14:58,2018-11-19 16:14:58,0.223s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:14:58,2018-11-19 16:14:59,0.247s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:14:59,2018-11-19 16:14:59,0.209s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:14:59,2018-11-19 16:14:59,0.188s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 16:14:59,2018-11-19 16:14:59,0.198s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-19 16:14:59,2018-11-19 16:14:59,0.060s,PASSED
focus,Chrome 70.0.3538.102,,2018-11-19 16:14:59,2018-11-19 16:14:59,0.112s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 16:14:59,2018-11-19 16:14:59,0.041s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 16:14:59,2018-11-19 16:15:00,0.413s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 16:15:00,2018-11-19 16:15:00,0.063s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 16:15:00,2018-11-19 16:15:00,0.040s,PASSED
