Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Manage Shop,Chrome 70.0.3538.102,Manage shop,2018-11-21 15:47:43,2018-11-21 15:48:06,22.555s,PASSED
,,,,,,
Test Cases/Update profile Image,Chrome 70.0.3538.102,,2018-11-21 15:47:44,2018-11-21 15:48:06,21.922s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-21 15:47:45,2018-11-21 15:47:57,12.070s,PASSED
click,Chrome 70.0.3538.102,,2018-11-21 15:47:57,2018-11-21 15:47:57,0.267s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-21 15:47:57,2018-11-21 15:47:58,1.161s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 15:47:58,2018-11-21 15:47:58,0.400s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-21 15:47:58,2018-11-21 15:47:59,0.307s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-21 15:47:59,2018-11-21 15:47:59,0.115s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 15:47:59,2018-11-21 15:47:59,0.150s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 15:47:59,2018-11-21 15:47:59,0.139s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 15:47:59,2018-11-21 15:48:02,2.841s,PASSED
uploadFile,Chrome 70.0.3538.102,,2018-11-21 15:48:02,2018-11-21 15:48:02,0.128s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 15:48:02,2018-11-21 15:48:02,0.044s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-21 15:48:02,2018-11-21 15:48:05,2.900s,PASSED
closeBrowser,Chrome 70.0.3538.102,,2018-11-21 15:48:05,2018-11-21 15:48:06,0.734s,PASSED
