Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Booking Services,Chrome 70.0.3538.102,,2018-11-20 12:05:39,2018-11-20 12:09:14,3m - 35.380s,PASSED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-20 12:05:39,2018-11-20 12:07:01,1m - 21.440s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-20 12:05:40,2018-11-20 12:05:44,4.468s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-20 12:05:44,2018-11-20 12:06:08,24.142s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-20 12:06:08,2018-11-20 12:06:10,1.167s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:06:10,2018-11-20 12:06:10,0.361s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-20 12:06:10,2018-11-20 12:06:16,5.736s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-20 12:06:16,2018-11-20 12:06:16,0.048s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-20 12:06:16,2018-11-20 12:06:16,0.124s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-20 12:06:16,2018-11-20 12:06:39,23.508s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-20 12:06:39,2018-11-20 12:06:39,0.067s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 12:06:39,2018-11-20 12:06:40,0.323s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:06:40,2018-11-20 12:06:40,0.367s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:06:40,2018-11-20 12:06:40,0.243s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-20 12:06:40,2018-11-20 12:06:41,0.103s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 12:06:41,2018-11-20 12:06:41,0.132s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-20 12:06:41,2018-11-20 12:06:41,0.155s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-20 12:06:41,2018-11-20 12:06:53,12.410s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-20 12:06:53,2018-11-20 12:06:53,0.063s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 12:06:53,2018-11-20 12:06:53,0.143s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-20 12:06:53,2018-11-20 12:06:55,1.142s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:06:55,2018-11-20 12:06:55,0.257s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:06:55,2018-11-20 12:06:55,0.212s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:06:55,2018-11-20 12:06:55,0.184s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:06:55,2018-11-20 12:06:55,0.214s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:06:55,2018-11-20 12:06:56,0.229s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-20 12:06:56,2018-11-20 12:06:56,0.074s,PASSED
focus,Chrome 70.0.3538.102,,2018-11-20 12:06:56,2018-11-20 12:06:56,0.124s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-20 12:06:56,2018-11-20 12:06:56,0.043s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 12:06:56,2018-11-20 12:06:57,0.998s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-20 12:06:57,2018-11-20 12:06:57,0.096s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-20 12:06:57,2018-11-20 12:06:57,0.038s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-20 12:06:57,2018-11-20 12:06:57,0.052s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-20 12:06:57,2018-11-20 12:06:57,0.031s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 12:06:57,2018-11-20 12:06:58,1.078s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 12:06:58,2018-11-20 12:06:59,0.588s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 12:06:59,2018-11-20 12:06:59,0.118s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:06:59,2018-11-20 12:06:59,0.288s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:06:59,2018-11-20 12:06:59,0.157s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:06:59,2018-11-20 12:07:00,0.194s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:07:00,2018-11-20 12:07:00,0.509s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-20 12:07:00,2018-11-20 12:07:00,0.170s,PASSED
click,Chrome 70.0.3538.102,,2018-11-20 12:07:00,2018-11-20 12:07:01,0.346s,PASSED
,,,,,,
