Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Listing,Chrome 70.0.3538.102,Add Listing with valid inputs,2018-11-16 16:09:36,2018-11-16 16:11:21,1m - 44.763s,PASSED
,,,,,,
Test Cases/AddListingWithExcel,Chrome 70.0.3538.102,Read input from excel sheets,2018-11-16 16:09:37,2018-11-16 16:10:28,51.571s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(Read data for Add listing).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-16 16:09:38,2018-11-16 16:10:28,50.712s,PASSED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-16 16:10:28,2018-11-16 16:11:19,50.774s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-16 16:10:29,2018-11-16 16:10:32,2.812s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-16 16:10:32,2018-11-16 16:10:52,20.265s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-16 16:10:52,2018-11-16 16:10:53,1.150s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:10:53,2018-11-16 16:10:54,0.333s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-16 16:10:54,2018-11-16 16:10:57,3.764s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-16 16:10:57,2018-11-16 16:10:57,0.026s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 16:10:57,2018-11-16 16:10:58,0.120s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-16 16:10:58,2018-11-16 16:11:05,7.495s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-16 16:11:05,2018-11-16 16:11:05,0.026s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:11:05,2018-11-16 16:11:05,0.265s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:05,2018-11-16 16:11:06,0.466s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:06,2018-11-16 16:11:06,0.269s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 16:11:06,2018-11-16 16:11:06,0.095s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:11:06,2018-11-16 16:11:06,0.140s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-16 16:11:06,2018-11-16 16:11:06,0.174s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-16 16:11:06,2018-11-16 16:11:12,5.196s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-16 16:11:12,2018-11-16 16:11:12,0.044s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:11:12,2018-11-16 16:11:12,0.152s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-16 16:11:12,2018-11-16 16:11:13,1.160s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:13,2018-11-16 16:11:13,0.216s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:13,2018-11-16 16:11:13,0.240s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:13,2018-11-16 16:11:14,0.283s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:14,2018-11-16 16:11:14,0.261s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:14,2018-11-16 16:11:14,0.219s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-16 16:11:14,2018-11-16 16:11:14,0.057s,PASSED
focus,Chrome 70.0.3538.102,,2018-11-16 16:11:14,2018-11-16 16:11:14,0.182s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-16 16:11:14,2018-11-16 16:11:15,0.049s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:11:15,2018-11-16 16:11:15,0.477s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-16 16:11:15,2018-11-16 16:11:15,0.064s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-16 16:11:15,2018-11-16 16:11:15,0.101s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-16 16:11:15,2018-11-16 16:11:15,0.051s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-16 16:11:15,2018-11-16 16:11:15,0.086s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:11:15,2018-11-16 16:11:16,0.512s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:11:16,2018-11-16 16:11:17,0.883s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:11:17,2018-11-16 16:11:17,0.228s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:17,2018-11-16 16:11:17,0.476s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:17,2018-11-16 16:11:18,0.207s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:18,2018-11-16 16:11:18,0.243s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:18,2018-11-16 16:11:18,0.464s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-16 16:11:18,2018-11-16 16:11:19,0.257s,PASSED
click,Chrome 70.0.3538.102,,2018-11-16 16:11:19,2018-11-16 16:11:19,0.566s,PASSED
