Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Add Listing,Chrome 70.0.3538.102,Add Listing with valid inputs,2018-11-19 15:02:24,2018-11-19 15:03:43,1m - 18.158s,PASSED
,,,,,,
Test Cases/AddListingWithExcel,Chrome 70.0.3538.102,Read input from excel sheets,2018-11-19 15:02:25,2018-11-19 15:02:59,34.213s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(Read data for Add listing).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-19 15:02:26,2018-11-19 15:02:59,33.471s,PASSED
,,,,,,
Test Cases/Booking Services for Customer,Chrome 70.0.3538.102,,2018-11-19 15:02:59,2018-11-19 15:03:42,42.545s,PASSED
openBrowser,Chrome 70.0.3538.102,,2018-11-19 15:03:00,2018-11-19 15:03:02,2.383s,PASSED
navigateToUrl,Chrome 70.0.3538.102,,2018-11-19 15:03:02,2018-11-19 15:03:20,18.478s,PASSED
maximizeWindow,Chrome 70.0.3538.102,,2018-11-19 15:03:20,2018-11-19 15:03:22,1.139s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:22,2018-11-19 15:03:22,0.245s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 15:03:22,2018-11-19 15:03:27,5.287s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 15:03:27,2018-11-19 15:03:27,0.029s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 15:03:27,2018-11-19 15:03:27,0.081s,PASSED
clickEvent.SelectServices.clickUsingJS1,Chrome 70.0.3538.102,,2018-11-19 15:03:27,2018-11-19 15:03:31,3.427s,PASSED
scrollToPosition,Chrome 70.0.3538.102,,2018-11-19 15:03:31,2018-11-19 15:03:31,0.019s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:03:31,2018-11-19 15:03:31,0.184s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:31,2018-11-19 15:03:31,0.348s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:31,2018-11-19 15:03:31,0.198s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 15:03:31,2018-11-19 15:03:32,0.068s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:03:32,2018-11-19 15:03:32,0.134s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 15:03:32,2018-11-19 15:03:32,0.148s,PASSED
takeScreenshot,Chrome 70.0.3538.102,,2018-11-19 15:03:32,2018-11-19 15:03:36,3.817s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 15:03:36,2018-11-19 15:03:36,0.037s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:03:36,2018-11-19 15:03:36,0.115s,PASSED
waitForElementVisible,Chrome 70.0.3538.102,,2018-11-19 15:03:36,2018-11-19 15:03:37,1.642s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:37,2018-11-19 15:03:38,0.177s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:38,2018-11-19 15:03:38,0.192s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:38,2018-11-19 15:03:38,0.185s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:38,2018-11-19 15:03:38,0.186s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:38,2018-11-19 15:03:38,0.197s,PASSED
scrollToElement,Chrome 70.0.3538.102,,2018-11-19 15:03:38,2018-11-19 15:03:38,0.041s,PASSED
focus,Chrome 70.0.3538.102,,2018-11-19 15:03:38,2018-11-19 15:03:38,0.090s,PASSED
waitForElementClickable,Chrome 70.0.3538.102,,2018-11-19 15:03:38,2018-11-19 15:03:39,0.039s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:03:39,2018-11-19 15:03:39,0.497s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 15:03:39,2018-11-19 15:03:39,0.055s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 15:03:39,2018-11-19 15:03:39,0.032s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 15:03:39,2018-11-19 15:03:39,0.028s,PASSED
verifyElementPresent,Chrome 70.0.3538.102,,2018-11-19 15:03:39,2018-11-19 15:03:39,0.030s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:03:39,2018-11-19 15:03:40,0.475s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:03:40,2018-11-19 15:03:40,0.496s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:03:40,2018-11-19 15:03:40,0.119s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:40,2018-11-19 15:03:41,0.282s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:41,2018-11-19 15:03:41,0.158s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:41,2018-11-19 15:03:41,0.152s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:41,2018-11-19 15:03:41,0.283s,PASSED
setText,Chrome 70.0.3538.102,,2018-11-19 15:03:41,2018-11-19 15:03:41,0.166s,PASSED
click,Chrome 70.0.3538.102,,2018-11-19 15:03:41,2018-11-19 15:03:42,0.483s,PASSED
