Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
sign up,Chrome 70.0.3538.102,,2018-11-21 15:37:35,2018-11-21 15:39:31,1m - 56.824s,PASSED
,,,,,,
Test Cases/Sign-Up for Customer with Valid Inputs,Chrome 70.0.3538.102,,2018-11-21 15:37:36,2018-11-21 15:38:21,45.333s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(signup_customer).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-21 15:37:36,2018-11-21 15:38:21,44.674s,PASSED
,,,,,,
Test Cases/Sign up for service provider,Chrome 70.0.3538.102,,2018-11-21 15:38:21,2018-11-21 15:39:31,1m - 10.290s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(signup_customer).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-21 15:38:22,2018-11-21 15:39:31,1m - 9.598s,PASSED
