Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Edit Listing,Chrome 70.0.3538.102,Edit Listing,2018-11-21 16:15:57,2018-11-21 16:16:23,26.343s,PASSED
,,,,,,
Test Cases/Edit Listing,Chrome 70.0.3538.102,,2018-11-21 16:15:58,2018-11-21 16:16:23,25.708s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(Edit_listing).getRowNumbers(), (row++)])",Chrome 70.0.3538.102,,2018-11-21 16:15:58,2018-11-21 16:16:23,24.936s,PASSED
